2016-07-01 16:17:43,281 [Worker-156] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SpringProject:SpringProject:0.0.1-SNAPSHOT @ C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\pom.xml.
2016-07-01 16:17:48,499 [Worker-148] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:17:48,502 [Worker-148] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:17:48,505 [Worker-148] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:17:48,507 [Worker-148] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:17:48,550 [Worker-156] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringProject/src
2016-07-01 16:17:48,552 [Worker-156] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /SpringProject/src/test/java because it overlaps with /SpringProject/src
2016-07-01 16:17:49,007 [Worker-156] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-07-01 16:17:51,867 [Worker-156] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SpringProject:SpringProject:0.0.1-SNAPSHOT @ C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\pom.xml.
2016-07-01 16:17:53,457 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:17:53,462 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:17:53,467 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:17:53,469 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:17:54,730 [Worker-156] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringProject/src
2016-07-01 16:17:54,731 [Worker-156] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /SpringProject/src/test/java because it overlaps with /SpringProject/src
